Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,32.049999,32.290001,31.950001,32.000000,31.750647,65734100
2018-02-01,32.000000,32.500000,31.959999,32.500000,32.246754,62367400
2018-02-02,32.439999,32.669998,31.860001,31.950001,31.701036,96971900
2018-02-05,31.120001,31.980000,29.150000,30.260000,30.024204,155908300
2018-02-06,29.410000,31.290001,29.299999,31.200001,30.956882,165878400
2018-02-07,31.120001,31.740000,30.860001,31.250000,31.006491,101180500
2018-02-08,31.309999,31.379999,29.730000,29.740000,29.508259,128981300
2018-02-09,30.170000,30.610001,29.129999,30.330000,30.093660,143071100
2018-02-12,30.620001,31.440001,30.540001,31.120001,30.877506,95055100
2018-02-13,31.040001,31.400000,30.760000,31.180000,30.937037,76727300
2018-02-14,31.170000,32.029999,31.059999,32.000000,31.750647,97251500
2018-02-15,32.389999,32.470001,31.870001,32.209999,31.959011,68117400
2018-02-16,32.000000,32.259998,31.920000,31.969999,31.720881,62137800
2018-02-20,31.959999,32.160000,31.750000,31.930000,31.681192,58573900
2018-02-21,31.799999,32.369999,31.770000,31.870001,31.621662,72210300
2018-02-22,31.990000,32.139999,31.590000,31.690001,31.443064,64749700
2018-02-23,31.799999,32.060001,31.760000,32.029999,31.780411,53626300
2018-02-26,32.169998,32.439999,32.049999,32.419998,32.167374,61796300
2018-02-27,32.320000,32.849998,32.320000,32.330002,32.078075,69235500
2018-02-28,32.490002,32.770000,32.090000,32.099998,31.849867,72044000
2018-03-01,32.070000,32.349998,31.360001,31.480000,31.351902,90547100
2018-03-02,31.120001,31.690001,30.629999,31.629999,31.501291,82739100
2018-03-05,31.350000,32.349998,31.170000,32.130001,31.999260,70543100
2018-03-06,32.299999,32.320000,31.950001,32.110001,31.979340,50832600
2018-03-07,31.700001,32.230000,31.580000,32.180000,32.049053,52763900
2018-03-08,32.189999,32.270000,31.809999,32.200001,32.068974,53139800
2018-03-09,32.470001,32.730000,32.400002,32.720001,32.586857,73905800
2018-03-12,32.689999,33.049999,32.639999,32.840000,32.706367,60322800
2018-03-13,32.970001,32.990002,32.299999,32.360001,32.228321,63347500
2018-03-14,32.549999,32.549999,31.930000,32.139999,32.009216,58011400
